Transaction Date,Description,Credit amount,Debit amount
2025-01-01,ACME PAYROLL,2000.00,
2025-01-02,RENT PAYMENT,,900.00
2025-01-03,TESCO STORE #1,,41.00
2025-01-04,TESCO STORE #2,,70.00
2025-01-05,TESCO STORE #3,,51.00
2025-01-06,TESCO STORE #4,,129.00
2025-01-08,UTILITY BILL ELECTRICITY,,87.00
2025-01-10,UTILITY BILL GAS,,41.00
2025-01-12,TRANSPORT OYSTER TOPUP 1,,28.00
2025-01-13,TRANSPORT OYSTER TOPUP 2,,22.00
2025-01-15,TRANSPORT OYSTER TOPUP 3,,27.00
2025-01-20,TRANSPORT OYSTER TOPUP 4,,19.00
2025-01-22,NETFLIX,,9.99
2025-01-24,SPOTIFY,,15.99
2025-01-25,GYM MEMBERSHIP,,29.99
2025-01-27,RESTAURANT #1,,33.00
2025-01-28,RESTAURANT #2,,35.00
2025-01-28,RESTAURANT #3,,36.00
2025-01-28,AMAZON ORDER #1,,29.00
2025-01-28,AMAZON ORDER #2,,26.00
2025-01-28,AMAZON ORDER #3,,42.00
2025-01-28,CASH WITHDRAWAL,,147.02
2025-02-01,ACME PAYROLL,2000.00,
2025-02-02,RENT PAYMENT,,900.00
2025-02-03,TESCO STORE #1,,50.00
2025-02-05,TESCO STORE #2,,73.00
2025-02-06,TESCO STORE #3,,32.00
2025-02-07,TESCO STORE #4,,108.00
2025-02-09,UTILITY BILL ELECTRICITY,,92.00
2025-02-11,UTILITY BILL GAS,,53.00
2025-02-13,TRANSPORT OYSTER TOPUP 1,,31.00
2025-02-15,TRANSPORT OYSTER TOPUP 2,,18.00
2025-02-17,TRANSPORT OYSTER TOPUP 3,,19.00
2025-02-18,TRANSPORT OYSTER TOPUP 4,,20.00
2025-02-20,NETFLIX,,9.99
2025-02-22,SPOTIFY,,15.99
2025-02-24,GYM MEMBERSHIP,,29.99
2025-02-25,RESTAURANT #1,,39.00
2025-02-26,RESTAURANT #2,,36.00
2025-02-27,RESTAURANT #3,,31.00
2025-02-28,AMAZON ORDER #1,,37.00
2025-02-28,AMAZON ORDER #2,,39.00
2025-02-28,AMAZON ORDER #3,,29.00
2025-02-28,CASH WITHDRAWAL,,99.03
2025-03-01,ACME PAYROLL,2000.00,
2025-03-02,RENT PAYMENT,,900.00
2025-03-03,TESCO STORE #1,,39.00
2025-03-04,TESCO STORE #2,,66.00
2025-03-06,TESCO STORE #3,,43.00
2025-03-07,TESCO STORE #4,,131.00
2025-03-09,UTILITY BILL ELECTRICITY,,87.00
2025-03-11,UTILITY BILL GAS,,44.00
2025-03-13,TRANSPORT OYSTER TOPUP 1,,18.00
2025-03-15,TRANSPORT OYSTER TOPUP 2,,20.00
2025-03-17,TRANSPORT OYSTER TOPUP 3,,24.00
2025-03-19,TRANSPORT OYSTER TOPUP 4,,33.00
2025-03-21,NETFLIX,,9.99
2025-03-23,SPOTIFY,,15.99
2025-03-25,GYM MEMBERSHIP,,29.99
2025-03-26,RESTAURANT #1,,39.00
2025-03-27,RESTAURANT #2,,35.00
2025-03-28,RESTAURANT #3,,27.00
2025-03-28,AMAZON ORDER #1,,39.00
2025-03-28,AMAZON ORDER #2,,41.00
2025-03-28,AMAZON ORDER #3,,28.00
2025-03-28,CASH WITHDRAWAL,,102.02
2025-04-01,ACME PAYROLL,2000.00,
2025-04-02,RENT PAYMENT,,900.00
2025-04-03,TESCO STORE #1,,51.00
2025-04-05,TESCO STORE #2,,65.00
2025-04-06,TESCO STORE #3,,44.00
2025-04-08,TESCO STORE #4,,124.00
2025-04-10,UTILITY BILL ELECTRICITY,,83.00
2025-04-12,UTILITY BILL GAS,,39.00
2025-04-14,TRANSPORT OYSTER TOPUP 1,,20.00
2025-04-16,TRANSPORT OYSTER TOPUP 2,,16.00
2025-04-18,TRANSPORT OYSTER TOPUP 3,,28.00
2025-04-19,TRANSPORT OYSTER TOPUP 4,,23.00
2025-04-21,NETFLIX,,9.99
2025-04-23,SPOTIFY,,15.99
2025-04-25,GYM MEMBERSHIP,,29.99
2025-04-26,RESTAURANT #1,,37.00
2025-04-27,RESTAURANT #2,,34.00
2025-04-28,RESTAURANT #3,,26.00
2025-04-28,AMAZON ORDER #1,,39.00
2025-04-28,AMAZON ORDER #2,,33.00
2025-04-28,AMAZON ORDER #3,,41.00
2025-04-28,CASH WITHDRAWAL,,83.02
2025-05-01,ACME PAYROLL,2000.00,
2025-05-02,RENT PAYMENT,,900.00
2025-05-03,TESCO STORE #1,,45.00
2025-05-04,TESCO STORE #2,,63.00
2025-05-06,TESCO STORE #3,,45.00
2025-05-07,TESCO STORE #4,,124.00
2025-05-09,UTILITY BILL ELECTRICITY,,82.00
2025-05-11,UTILITY BILL GAS,,49.00
2025-05-13,TRANSPORT OYSTER TOPUP 1,,28.00
2025-05-15,TRANSPORT OYSTER TOPUP 2,,22.00
2025-05-17,TRANSPORT OYSTER TOPUP 3,,19.00
2025-05-18,TRANSPORT OYSTER TOPUP 4,,22.00
2025-05-20,NETFLIX,,9.99
2025-05-22,SPOTIFY,,15.99
2025-05-24,GYM MEMBERSHIP,,29.99
2025-05-25,RESTAURANT #1,,43.00
2025-05-26,RESTAURANT #2,,31.00
2025-05-27,RESTAURANT #3,,27.00
2025-05-28,AMAZON ORDER #1,,43.00
2025-05-28,AMAZON ORDER #2,,28.00
2025-05-28,AMAZON ORDER #3,,35.00
2025-05-28,CASH WITHDRAWAL,,89.03
