Transaction Date,Description,Credit amount,Debit amount
2025-01-01,ACME PAYROLL,4505.0,
2025-01-02,RENT PAYMENT,,1530.18
2025-01-03,TESCO STORE #1,,69.71
2025-01-04,TESCO STORE #2,,119.01
2025-01-05,TESCO STORE #3,,86.71
2025-01-06,TESCO STORE #4,,219.33
2025-01-08,UTILITY BILL ELECTRICITY,,147.92
2025-01-10,UTILITY BILL GAS,,69.71
2025-01-12,TRANSPORT OYSTER TOPUP 1,,47.61
2025-01-13,TRANSPORT OYSTER TOPUP 2,,37.4
2025-01-15,TRANSPORT OYSTER TOPUP 3,,45.91
2025-01-20,TRANSPORT OYSTER TOPUP 4,,32.3
2025-01-22,NETFLIX,,16.98
2025-01-24,SPOTIFY,,27.19
2025-01-25,GYM MEMBERSHIP,,50.99
2025-01-27,RESTAURANT #1,,56.11
2025-01-28,AMAZON ORDER #1,,49.31
2025-01-28,AMAZON ORDER #2,,44.21
2025-01-28,AMAZON ORDER #3,,71.41
2025-01-28,CASH WITHDRAWAL,,249.96
2025-01-28,RESTAURANT #2,,59.51
2025-01-28,RESTAURANT #3,,61.21
2025-02-01,ACME PAYROLL,4505.0,
2025-02-02,RENT PAYMENT,,1491.38
2025-02-03,TESCO STORE #1,,82.85
2025-02-05,TESCO STORE #2,,120.97
2025-02-06,TESCO STORE #3,,53.03
2025-02-07,TESCO STORE #4,,178.97
2025-02-09,UTILITY BILL ELECTRICITY,,152.45
2025-02-11,UTILITY BILL GAS,,87.83
2025-02-13,TRANSPORT OYSTER TOPUP 1,,51.37
2025-02-15,TRANSPORT OYSTER TOPUP 2,,29.83
2025-02-17,TRANSPORT OYSTER TOPUP 3,,31.48
2025-02-18,TRANSPORT OYSTER TOPUP 4,,33.14
2025-02-20,NETFLIX,,16.55
2025-02-22,SPOTIFY,,26.5
2025-02-24,GYM MEMBERSHIP,,49.7
2025-02-25,RESTAURANT #1,,64.63
2025-02-26,RESTAURANT #2,,59.66
2025-02-27,RESTAURANT #3,,51.37
2025-02-28,AMAZON ORDER #1,,61.31
2025-02-28,AMAZON ORDER #2,,64.63
2025-02-28,AMAZON ORDER #3,,48.06
2025-02-28,CASH WITHDRAWAL,,164.1
2025-03-01,ACME PAYROLL,4505.0,
2025-03-02,RENT PAYMENT,,1516.3
2025-03-03,TESCO STORE #1,,65.71
2025-03-04,TESCO STORE #2,,111.19
2025-03-06,TESCO STORE #3,,72.45
2025-03-07,TESCO STORE #4,,220.71
2025-03-09,UTILITY BILL ELECTRICITY,,146.58
2025-03-11,UTILITY BILL GAS,,74.13
2025-03-13,TRANSPORT OYSTER TOPUP 1,,30.33
2025-03-15,TRANSPORT OYSTER TOPUP 2,,33.7
2025-03-17,TRANSPORT OYSTER TOPUP 3,,40.43
2025-03-19,TRANSPORT OYSTER TOPUP 4,,55.6
2025-03-21,NETFLIX,,16.83
2025-03-23,SPOTIFY,,26.94
2025-03-25,GYM MEMBERSHIP,,50.53
2025-03-26,RESTAURANT #1,,65.71
2025-03-27,RESTAURANT #2,,58.97
2025-03-28,AMAZON ORDER #1,,65.71
2025-03-28,AMAZON ORDER #2,,69.08
2025-03-28,AMAZON ORDER #3,,47.17
2025-03-28,CASH WITHDRAWAL,,171.88
2025-03-28,RESTAURANT #3,,45.49
2025-04-01,ACME PAYROLL,4505.0,
2025-04-02,RENT PAYMENT,,1563.07
2025-04-03,TESCO STORE #1,,88.57
2025-04-05,TESCO STORE #2,,112.89
2025-04-06,TESCO STORE #3,,76.42
2025-04-08,TESCO STORE #4,,215.36
2025-04-10,UTILITY BILL ELECTRICITY,,144.15
2025-04-12,UTILITY BILL GAS,,67.73
2025-04-14,TRANSPORT OYSTER TOPUP 1,,34.73
2025-04-16,TRANSPORT OYSTER TOPUP 2,,27.79
2025-04-18,TRANSPORT OYSTER TOPUP 3,,48.63
2025-04-19,TRANSPORT OYSTER TOPUP 4,,39.95
2025-04-21,NETFLIX,,17.35
2025-04-23,SPOTIFY,,27.77
2025-04-25,GYM MEMBERSHIP,,52.09
2025-04-26,RESTAURANT #1,,64.26
2025-04-27,RESTAURANT #2,,59.05
2025-04-28,AMAZON ORDER #1,,67.73
2025-04-28,AMAZON ORDER #2,,57.31
2025-04-28,AMAZON ORDER #3,,71.21
2025-04-28,CASH WITHDRAWAL,,144.18
2025-04-28,RESTAURANT #3,,45.16
2025-05-01,ACME PAYROLL,4505.0,
2025-05-02,RENT PAYMENT,,1623.28
2025-05-03,TESCO STORE #1,,81.16
2025-05-04,TESCO STORE #2,,113.63
2025-05-06,TESCO STORE #3,,81.16
2025-05-07,TESCO STORE #4,,223.65
2025-05-09,UTILITY BILL ELECTRICITY,,147.9
2025-05-11,UTILITY BILL GAS,,88.38
2025-05-13,TRANSPORT OYSTER TOPUP 1,,50.5
2025-05-15,TRANSPORT OYSTER TOPUP 2,,39.68
2025-05-17,TRANSPORT OYSTER TOPUP 3,,34.27
2025-05-18,TRANSPORT OYSTER TOPUP 4,,39.68
2025-05-20,NETFLIX,,18.02
2025-05-22,SPOTIFY,,28.84
2025-05-24,GYM MEMBERSHIP,,54.09
2025-05-25,RESTAURANT #1,,77.56
2025-05-26,RESTAURANT #2,,55.91
2025-05-27,RESTAURANT #3,,48.7
2025-05-28,AMAZON ORDER #1,,77.56
2025-05-28,AMAZON ORDER #2,,50.5
2025-05-28,AMAZON ORDER #3,,63.13
2025-05-28,CASH WITHDRAWAL,,160.58
