# UK Savings Deposit by Product and Provider with AER and other Data



| Provider | Product | Interest Rate (AER) | Rate Type | Account Type | Min/Max Deposit | Managed Through |

| --- | --- | --- | --- | --- | --- | --- |

| National Bank of Egypt (UK) Limited | Raisin UK - 1 Year Fixed Term Deposit | 4.38 | Fixed | 1 year Fixed | £10,000 to £85,000 | Managed through web and app |

| Punjab National Bank | Raisin UK - 1 Year Fixed Term Deposit | 4.31 | Fixed | 1 year Fixed | £1,000 to £85,000 | Managed through web and app |

| Ziraat Bank | Raisin UK - 1 Year Fixed Term Deposit | 4.31 | Fixed | 1 year Fixed | £1,000 to £85,000 | Managed through web and app |

| United Bank UK | Raisin UK - 4 Year Fixed Term Deposit | 4.26 | Fixed | 4 year Fixed | £2,000 to £85,000 | Managed through web and app |

| United Bank UK | Raisin UK - 5 Year Fixed Term Deposit | 4.26 | Fixed | 5 year Fixed | £2,000 to £85,000 | Managed through web and app |

| Kuwait Finance House | Raisin UK - 1 Year Fixed Term Deposit | 4.25 | Fixed | 1 year Fixed | £1,000 to £85,000 | Managed through web and app |

| RCI Bank UK | 2 Year Fixed Term Savings Account | 4.25 | Fixed | 2 year Fixed | £1,000 to £1,000,000 | Managed through web and app |

| Bank of Ceylon | Raisin UK - 3 Year Fixed Term Deposit | 4.2 | Fixed | 3 year Fixed | £1,000 to £85,000 | Managed through web and app |

| RCI Bank UK | Raisin UK - 3 Year Fixed Term Deposit | 4.2 | Fixed | 3 year Fixed | £1,000 to £85,000 | Managed through web and app |

| National Bank of Egypt (UK) Limited | Raisin UK - 6 Month Fixed Term Deposit | 4.19 | Fixed | 6 month Fixed | £10,000 to £85,000 | Managed through web and app |

| LHV Bank | Raisin UK - 1 Year Fixed Term Deposit | 4.15 | Fixed | 1 year Fixed | £1,000 to £85,000 | Managed through web and app |

| Kuwait Finance House | Raisin UK - 9 Month Fixed Term Deposit | 4.14 | Fixed | 9 month Fixed | £1,000 to £85,000 | Managed through web and app |

| United Trust Bank | UTB 6 Month Bond | 4.14 | Fixed | 6 month Fixed | £5,000 to £1,000,000 | Managed through web, post and telephone |

| Punjab National Bank | Raisin UK - 3 Year Fixed Term Deposit | 4.13 | Fixed | 3 year Fixed | £1,000 to £85,000 | Managed through web and app |

| Punjab National Bank | Raisin UK - 5 Year Fixed Term Deposit | 4.13 | Fixed | 5 year Fixed | £1,000 to £85,000 | Managed through web and app |

| Punjab National Bank | Raisin UK - 4 Year Fixed Term Deposit | 4.13 | Fixed | 4 year Fixed | £1,000 to £85,000 | Managed through web and app |

| Bank of Ceylon | Raisin UK - 1 Year Fixed Term Deposit | 4.11 | Fixed | 1 year Fixed | £1,000 to £85,000 | Managed through web and app |

| FBN Bank (UK) Limited | Raisin UK - 1 Year Fixed Term Deposit | 4.11 | Fixed | 1 year Fixed | £10,000 to £85,000 | Managed through web and app |

| National Bank of Egypt (UK) Limited | Raisin UK - 2 Year Fixed Term Deposit | 4.1 | Fixed | 2 year Fixed | £10,000 to £85,000 | Managed through web and app |

